"filename", "language", "JSON", "JavaScript", "XML", "CSS", "PHP", "YAML", "Vue", "Markdown", "comment", "blank", "total"
"/home/asmaoui/Documents/coding/Association-Management/database/seeders/EvenementSeeder.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 4, 4, 18
"/home/asmaoui/Documents/coding/Association-Management/database/seeders/GroupeSeeder.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 4, 4, 18
"/home/asmaoui/Documents/coding/Association-Management/database/seeders/RolesTableSeeder.php", "PHP", 0, 0, 0, 0, 14, 0, 0, 0, 46, 15, 75
"/home/asmaoui/Documents/coding/Association-Management/database/seeders/StockSeeder.php", "PHP", 0, 0, 0, 0, 10, 0, 0, 0, 4, 4, 18
"/home/asmaoui/Documents/coding/Association-Management/lang/ar.json", "JSON", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190
"/home/asmaoui/Documents/coding/Association-Management/lang/ar/auth.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/asmaoui/Documents/coding/Association-Management/lang/ar/http-statuses.php", "PHP", 0, 0, 0, 0, 82, 0, 0, 0, 0, 3, 85
"/home/asmaoui/Documents/coding/Association-Management/lang/ar/pagination.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/home/asmaoui/Documents/coding/Association-Management/lang/ar/passwords.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/home/asmaoui/Documents/coding/Association-Management/lang/ar/validation.php", "PHP", 0, 0, 0, 0, 214, 0, 0, 0, 0, 3, 217
"/home/asmaoui/Documents/coding/Association-Management/lang/en.json", "JSON", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190
"/home/asmaoui/Documents/coding/Association-Management/lang/en/auth.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/asmaoui/Documents/coding/Association-Management/lang/en/http-statuses.php", "PHP", 0, 0, 0, 0, 82, 0, 0, 0, 0, 3, 85
"/home/asmaoui/Documents/coding/Association-Management/lang/en/pagination.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/home/asmaoui/Documents/coding/Association-Management/lang/en/passwords.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/home/asmaoui/Documents/coding/Association-Management/lang/en/validation.php", "PHP", 0, 0, 0, 0, 214, 0, 0, 0, 0, 3, 217
"/home/asmaoui/Documents/coding/Association-Management/lang/fr.json", "JSON", 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 190
"/home/asmaoui/Documents/coding/Association-Management/lang/fr/auth.php", "PHP", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"/home/asmaoui/Documents/coding/Association-Management/lang/fr/http-statuses.php", "PHP", 0, 0, 0, 0, 82, 0, 0, 0, 0, 3, 85
"/home/asmaoui/Documents/coding/Association-Management/lang/fr/pagination.php", "PHP", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/home/asmaoui/Documents/coding/Association-Management/lang/fr/passwords.php", "PHP", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/home/asmaoui/Documents/coding/Association-Management/lang/fr/validation.php", "PHP", 0, 0, 0, 0, 214, 0, 0, 0, 0, 3, 217
"/home/asmaoui/Documents/coding/Association-Management/package-lock.json", "JSON", 15337, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15338
